year,ltemp,mtemp,gtemp
1849,15.71,4.37,7.98
1850,15.28,3.84,7.90
1851,15.53,3.66,8.18
1852,15.61,5.02,8.10
1853,16.27,3.69,8.04
1854,15.74,4.08,8.21
1855,15.94,3.52,8.11
1856,15.52,4.30,8.00
1857,16.19,4.41,7.76
1858,15.67,3.63,8.10
1859,15.29,5.07,8.25
1860,15.41,3.41,7.96
1861,16.51,4.62,7.85
1862,16.05,5.39,7.56
1863,15.88,5.35,8.11
1864,16.62,3.26,7.98
1865,15.89,4.75,8.18
1866,16.33,5.01,8.29
1867,16.51,4.44,8.44
1868,16.09,5.54,8.25
1869,16.05,4.69,8.43
1870,15.64,3.57,8.20
1871,15.89,3.53,8.12
1872,15.66,5.51,8.19
1873,15.70,4.77,8.35
1874,15.33,4.18,8.43
1875,16.19,3.96,7.86
1876,15.70,4.64,8.08
1877,16.24,4.79,8.54
1878,15.44,4.26,8.83
1879,15.55,3.53,8.17
1880,14.36,4.74,8.12
1881,15.65,4.24,8.27
1882,14.85,4.58,8.13
1883,15.52,4.16,7.98
1884,15.28,4.67,7.77
1885,16.44,4.47,7.92
1886,15.74,4.61,7.95
1887,15.62,3.41,7.91
1888,15.91,3.69,8.09
1889,16.22,3.72,8.32
1890,15.80,3.67,7.97
1891,15.63,3.70,8.02
1892,15.33,4.45,8.07
1893,14.95,4.44,8.06
1894,14.83,4.52,8.16
1895,15.36,4.00,8.15
1896,16.10,3.84,8.21
1897,15.32,4.67,8.29
1898,15.65,5.13,8.18
1899,15.59,4.72,8.40
1900,16.08,5.00,8.50
1901,15.72,4.01,8.54
1902,15.08,4.24,8.30
1903,15.49,4.57,8.22
1904,16.24,5.07,8.09
1905,15.52,4.31,8.23
1906,15.74,4.48,8.38
1907,15.46,4.38,7.95
1908,15.17,3.98,8.19
1909,15.01,3.75,8.18
1910,15.94,4.47,8.22
1911,14.82,5.22,8.18
1912,14.84,4.13,8.17
1913,15.20,4.66,8.30
1914,15.65,4.43,8.59
1915,15.43,4.39,8.59
1916,14.60,4.90,8.23
1917,15.59,3.91,8.02
1918,15.65,4.75,8.13
1919,15.34,3.85,8.38
1920,15.06,5.29,8.36
1921,15.76,5.48,8.57
1922,15.31,3.93,8.41
1923,15.39,4.88,8.42
1924,15.69,4.11,8.51
1925,15.72,4.42,8.53
1926,16.60,5.11,8.73
1927,15.41,4.86,8.52
1928,15.98,5.19,8.63
1929,16.10,4.13,8.24
1930,15.99,5.24,8.63
1931,16.60,3.88,8.72
1932,15.40,4.61,8.71
1933,15.40,3.88,8.34
1934,17.03,5.59,8.63
1935,15.50,4.57,8.52
1936,16.60,4.88,8.55
1937,15.68,5.20,8.70
1938,15.89,4.82,8.86
1939,16.30,4.49,8.76
1940,16.53,3.45,8.76
1941,15.62,3.80,8.77
1942,15.77,4.28,8.73
1943,16.12,5.56,8.76
1944,15.03,4.28,8.85
1945,15.70,5.20,8.58
1946,15.65,5.14,8.68
1947,15.98,5.51,8.80
1948,15.09,5.49,8.75
1949,15.36,5.55,8.59
1950,16.20,5.44,8.37
1951,15.76,5.29,8.63
1952,15.33,4.67,8.64
1953,15.68,5.22,8.87
1954,16.05,4.27,8.56
1955,15.34,4.39,8.63
1956,15.70,3.58,8.28
1957,15.80,5.11,8.73
1958,16.70,4.93,8.77
1959,17.05,5.51,8.73
1960,16.31,4.97,8.58
1961,16.21,5.85,8.80
1962,15.62,3.94,8.75
1963,15.73,3.99,8.86
1964,15.28,4.92,8.41
1965,15.34,4.08,8.53
1966,15.99,5.10,8.60
1967,15.92,5.18,8.70
1968,15.89,4.68,8.52
1969,15.79,4.42,8.60
1970,16.00,4.41,8.70
1971,15.26,4.86,8.60
1972,15.96,4.69,8.50
1973,15.51,4.57,8.95
1974,15.85,5.23,8.47
1975,15.12,5.20,8.74
1976,16.18,4.95,8.35
1977,16.26,5.32,8.85
1978,16.01,4.32,8.69
1979,15.88,4.87,8.73
1980,16.23,4.19,8.98
1981,16.89,4.82,9.17
1982,15.44,5.51,8.64
1983,16.20,5.60,9.03
1984,16.76,4.43,8.69
1985,15.96,4.52,8.66
1986,16.50,4.85,8.83
1987,16.09,4.69,8.99
1988,16.44,5.64,9.20
1989,16.36,5.88,8.92
1990,16.37,5.92,9.23
1991,16.00,4.93,9.18
1992,16.79,5.91,8.84
1993,16.36,5.33,8.87
1994,16.29,6.64,9.04
1995,16.64,5.33,9.35
1996,17.08,4.49,9.04
1997,16.93,5.79,9.20
1998,15.37,5.66,9.52
1999,16.12,5.55,9.29
2000,16.64,6.33,9.20
2001,16.47,5.59,9.41
2002,16.43,6.26,9.57
2003,16.94,6.12,9.53
2004,16.55,5.43,9.32
2005,16.43,5.01,9.70
2006,16.62,5.94,9.53
2007,16.70,6.28,9.73
2008,17.01,5.94,9.43
2009,16.68,5.89,9.51
2010,15.89,4.85,9.70
2011,15.87,6.56,9.52
2012,17.09,5.88,9.51
2013,18.12,6.00,9.61
